Z-Curve_X,Z-Curve_Y,Z-Curve_Y,gcContent,AT/GC,GC skew,AT skew,label
167,-101,433,44.32205612,0.079289941,0.015544041,1.256213018,1
-150,68,-770,62.86764706,-0.0579479,-0.03690369,0.590643275,1
-72,62,-512,57.42890308,-0.033855483,-0.003408316,0.741283477,1
-345,-101,-377,53.3475404,-0.040612517,-0.084887705,0.874500666,1
-181,-467,2243,35.54209101,0.051867972,-0.0648,1.81356547,1
-8,-100,300,47.77843602,0.014259144,-0.015314804,1.09299442,1
96,34,-936,58.90749905,0.010016155,0.030106531,0.697576737,1
-161,27,-459,62.49319543,-0.081881533,-0.09724238,0.600174216,1
660,932,1680,45.01779359,-0.017918314,0.085868393,1.221343874,1
1158,-96,-2266,67.01201201,0.140488461,0.241693218,0.492269774,1
550,266,958,39.71661657,0.076756757,0.145299145,1.517837838,1
4,138,-878,62.8814554,-0.031264582,0.056126482,0.59029398,1
-82,80,-272,57.1654373,-0.074654378,-0.001230012,0.749308756,1
787,1163,-491,51.98223658,-0.029201615,0.163948209,0.923734079,1
-208,190,-142,51.28530051,-0.070243558,-0.003344482,0.949876456,1
140,30,-64,51.8327606,0.060773481,0.101070155,0.929281768,1
157,121,187,45.20758585,0.020408163,0.130028064,1.212018141,1
17,-129,645,42.42779995,0.04039845,-0.022838499,1.356945213,1
59,67,1033,41.18149223,-0.001658375,0.018287373,1.42827529,1
200,264,-158,51.80447693,-0.014109347,0.109952607,0.930335097,1
112,144,-672,61.15537849,-0.008686211,0.109401709,0.635179153,1
248,72,440,39.56356736,0.105515588,0.125588697,1.527577938,1
212,10,730,44.05924479,0.037310676,0.032295607,1.269671223,1
1287,237,2937,36.84964628,0.127582017,0.108054453,1.713730255,1
136,-86,922,39.41689624,0.064647641,0.009473285,1.53698311,1
106,6,46,46.56716418,0.16025641,0.156424581,1.147435897,1
212,22,280,41.57641396,0.13748191,0.120494336,1.405209841,1
-115,287,-761,59.04015206,-0.080885312,0.049883991,0.693762575,1
-41,183,-1167,63.28249488,-0.04028777,0.044017359,0.580215827,1
-81,-89,1291,35.8287596,0.00245098,-0.029079713,1.791053922,1
-156,276,-824,62.98865069,-0.108108108,0.051107325,0.587587588,1
-53,-207,461,45.18889585,0.03556582,-0.04950495,1.212933025,1
38,26,-674,61.28600134,0.003278689,0.027681661,0.631693989,1
633,467,-339,53.43465046,0.031475161,0.239338555,0.871444824,1
83,-101,-147,54.31085044,0.099352052,-0.011553273,0.8412527,1
40,18,-96,53.08087291,0.013301088,0.039671683,0.883917775,1
590,442,-854,54.98017261,0.015697921,0.133678756,0.818837505,1
34,-34,-652,61.74351585,0.019836639,0,0.619603267,1
188,312,458,46.55431839,-0.020038785,0.070382883,1.148028442,1
1,77,25,49.76113128,-0.014592934,0.014834538,1.009600614,1
-306,150,-938,61.93384224,-0.093672966,-0.052139037,0.61462613,1
-133,-57,-1059,64.24535916,-0.015912898,-0.071482318,0.556532663,1
-68,-44,-444,54.7314578,-0.004672897,-0.026365348,0.827102804,1
-21,71,-83,52.18306155,-0.046370968,0.02750275,0.916330645,1
204,30,1188,37.26960994,0.050028752,0.039972668,1.683151236,1
301,157,-855,65.28423311,0.039430449,0.235839341,0.531763417,1
452,50,350,41.12576065,0.24784217,0.216192937,1.431565968,1
195,-119,721,40.36868822,0.103904699,0.01702509,1.477167439,1
507,117,-737,56.54645585,0.061262959,0.127555192,0.76845743,1
133,-23,-797,65.14633219,0.045507585,0.05997819,0.535005834,1
358,96,-648,58.99500278,0.061647059,0.153689912,0.695058824,1
-136,-40,-300,56.3237774,-0.035928144,-0.084942085,0.775449102,1
-98,-194,682,36.91481197,0.04989605,-0.088807786,1.708939709,1
51,-23,-351,54.43293761,0.017169374,0.007760532,0.83712297,1
-58,-98,-178,53.87968614,0.01618123,-0.073724008,0.855987055,1
191,85,429,43.31150608,0.038156947,0.075907591,1.308855292,1
-49,-83,603,43.41846758,0.008547009,-0.025462963,1.303167421,1
154,250,438,45.70756566,-0.02058319,0.072924188,1.187821612,1
11,-151,1085,37.20217032,0.051363348,-0.026296018,1.688015219,1
-386,-1068,3024,37.5391462,0.074862788,-0.095922945,1.66388584,1
267,-55,921,40.88299347,0.077966102,0.035498995,1.446004843,1
-77,-87,-577,59.11532385,0.002672368,-0.063369397,0.691608765,1
182,6,770,37.31048121,0.077738516,0.049421661,1.680212014,1
24,-16,-296,60.51136364,0.023474178,0.007194245,0.65258216,1
410,958,594,47.82862992,-0.041883216,0.095852018,1.090797921,1
915,543,1821,38.94084781,0.05801622,0.145016909,1.567997505,1
-195,-3,15,49.64539007,-0.091428571,-0.092957746,1.014285714,1
213,-101,715,41.30804765,0.092407298,0.023198012,1.420835786,1
-11,133,515,45.33429969,-0.028776978,0.02021876,1.205835332,1
-102,58,-338,61.22177955,-0.086767896,-0.037671233,0.63340564,1
121,-129,1633,36.94644285,0.054089139,-0.001014199,1.706620511,1
185,81,51,48.44036697,0.065656566,0.15776987,1.064393939,1
-105,185,-533,56.54952077,-0.06301608,0.022624434,0.768361582,1
258,74,-170,53.79125781,0.07628524,0.16023166,0.859038143,1
231,-37,-77,52.71317829,0.179144385,0.144560358,0.897058824,1
127,-33,279,46.4037123,0.044444444,0.022607023,1.155,1
83,73,-139,54.4465771,0.005875441,0.109550562,0.83666275,1
-115,-97,37,48.392702,-0.016157989,-0.178451178,1.066427289,1
69,-119,231,47.13470603,0.049473684,-0.011731581,1.121578947,1
98,10,-1044,66.88227684,0.021276596,0.052734375,0.49516441,1
-102,8,-30,53.5046729,-0.240174672,-0.236180905,0.868995633,1
25,-105,-543,52.51972158,0.011486128,-0.007818608,0.904046651,1
-264,-92,-902,62.83437678,-0.038949275,-0.136294028,0.591485507,1
96,74,316,47.13664371,0.004229143,0.029139527,1.121491734,1
134,-6,80,46.19771863,0.144032922,0.113074205,1.164609053,1
-49,-43,295,44.23152131,-0.00265252,-0.032258065,1.260831123,1
185,129,-1045,60.86956522,0.009569378,0.083466241,0.642857143,1
898,-2,-1036,59.30316092,0.136281042,0.197705207,0.686250757,1
173,97,-747,59.42943701,0.016142736,0.084007467,0.682667799,1
69,-87,455,41.88369604,0.066439523,-0.005524862,1.387563884,1
375,281,-351,53.53331991,0.017675818,0.142114385,0.867995487,1
-16,180,-998,61.50299677,-0.036731634,0.049101796,0.625937031,1
-61,-61,-59,50.65020939,0,-0.027244305,0.9743255,1
-95,-205,831,44.14541356,0.017555059,-0.037840565,1.265240983,1
