Z-Curve_X,Z-Curve_Y,Z-Curve_Z,gcContent,AT/GC,GC skew,AT skew,label
183,-31,381,45.00131199,0.062390671,0.036259542,1.222157434,1
20,-16,122,47.74907749,0.013910355,0.001412429,1.094281298,1
248,152,1736,44.05967698,0.007455732,0.024467825,1.269648959,1
-211,-43,1183,34.67219487,-0.062780269,-0.050376835,1.884155456,1
178,-46,320,42.67399267,0.120171674,0.052715655,1.343347639,1
282,2,44,49.30991217,0.089058524,0.087871287,1.027989822,1
-110,318,-1914,63.49027347,-0.047513321,0.04015444,0.575044405,1
530,72,148,47.96143251,0.131533601,0.159343568,1.085008616,1
85,-5,-523,60.63440423,0.030181087,0.041322314,0.649228706,1
96,-14,124,44.11764706,0.11827957,0.069609508,1.266666667,1
-137,15,-715,64.04715128,-0.046625767,-0.066666667,0.561349693,1
145,-109,621,40.22047244,0.09945184,0.009483667,1.486296006,1
336,-70,338,45.7960199,0.11026616,0.061037173,1.183595872,1
187,207,333,41.76150421,-0.011848341,0.167374681,1.394549763,1
1036,254,1894,43.57356135,0.060893942,0.077570655,1.294969631,1
-124,184,-808,61.02620087,-0.068872987,0.021008403,0.638640429,1
-66,-8,-1202,67.27011494,-0.012387868,-0.032484636,0.486544212,1
-175,99,-649,59.8782344,-0.069649212,-0.028831563,0.670055923,1
119,95,-907,61.26708075,0.00486618,0.06863374,0.632197891,1
132,-382,2158,38.29718004,0.072783914,-0.021972227,1.611158312,1
60,-116,1318,36.20761825,0.050867052,-0.009186352,1.761849711,1
141,261,-403,55.02619107,-0.027198549,0.111480865,0.81731641,1
70,6,166,45.47437296,0.038369305,0.038,1.199040767,1
124,246,-74,52.13133641,-0.067403315,0.222623345,0.918232044,1
194,-14,-112,53.84615385,0.132653061,0.133928571,0.857142857,1
44,34,-1304,63.93758016,0.001671682,0.023117961,0.56402541,1
-204,-6,-920,66.16303584,-0.052575677,-0.109034268,0.51141795,1
-117,45,-1051,56.85047582,-0.018573722,-0.010876133,0.759000229,1
26,-104,234,45.81545064,0.050741608,-0.025742574,1.182669789,1
-180,-52,-772,57.42879138,-0.021447721,-0.05244123,0.741286863,1
121,375,153,47.79093272,-0.07673716,0.137168142,1.09244713,1
513,97,-255,54.80588014,0.143053645,0.254378649,0.824621733,1
241,-35,267,45.38222068,0.105182927,0.065231159,1.203506098,1
-209,-103,-2713,61.36763597,-0.007237471,-0.033839479,0.629523419,1
-550,-188,-4800,66.97552695,-0.019115007,-0.079031913,0.493082691,1
-11,-193,923,43.34726827,0.03026272,-0.025954198,1.306950449,1
-284,264,-868,63.34563346,-0.133009709,-0.008389262,0.578640777,1
1,119,225,45.07227332,-0.057337221,0.04784689,1.218658892,1
64,-50,-660,62.28592703,0.034070532,0.006910168,0.605499103,1
223,-155,-827,58.44049806,0.06601467,0.016699411,0.711142159,1
-99,137,-1017,59.89492119,-0.038336582,0.009218826,0.669590643,1
-4,-36,-78,53.36787565,0.025889968,-0.037037037,0.873786408,1
381,373,595,46.95028191,0.000873362,0.072850242,1.129912664,1
284,72,-394,59.48026949,0.085760518,0.211401425,0.681229773,1
98,-36,202,42.88732394,0.11001642,0.038224414,1.331691297,1
219,285,2125,37.08520724,-0.010816126,0.048686244,1.696492953,1
179,-31,913,39.46943483,0.061367621,0.02820122,1.533606078,1
96,-142,-106,50.96856725,0.042667623,-0.008572493,0.961993546,1
-194,278,-242,52.0627344,-0.077275704,0.014935989,0.920759659,1
266,16,888,39.80248048,0.072129256,0.053796261,1.512406232,1
101,245,-745,57.24285437,-0.024456522,0.078672124,0.746942935,1
143,-27,421,38.60314023,0.119214586,0.051146384,1.590462833,1
135,-29,-583,57.84234598,0.038139535,0.033822591,0.728837209,1
-512,102,-874,58.65689382,-0.103681189,-0.09822712,0.70482945,1
380,194,-388,52.52144528,0.023014105,0.078565563,0.903984162,1
151,-55,1003,38.15261044,0.06377709,0.018334607,1.621052632,1
168,228,-1116,60.64885496,-0.009439899,0.096023278,0.648835746,1
-26,-8,268,45.91214155,-0.005980066,-0.009588268,1.17807309,1
201,-125,339,47.41812643,0.052361066,0.011008111,1.108898169,1
177,-205,1587,38.49499783,0.071939736,-0.00330033,1.597740113,1
23,55,251,41.71617162,-0.025316456,0.04416761,1.397151899,1
-24,14,-502,62.85860656,-0.015484923,-0.006896552,0.590872046,1
77,-27,407,40.48620851,0.060046189,0.019638649,1.469976905,1
-17,-23,299,45.56774385,0.001951854,-0.010893246,1.194534808,1
362,-64,1916,36.52601969,0.082017713,0.033015732,1.737774355,1
516,168,306,43.85542169,0.159340659,0.244635193,1.28021978,1
-112,-8,-530,62.44131455,-0.039097744,-0.075,0.601503759,1
154,178,-298,58.45629966,-0.011650485,0.226775956,0.710679612,1
21,71,-1265,63.69937189,-0.00850051,0.027446301,0.569874192,1
-98,-130,-204,54.78424015,0.01369863,-0.118257261,0.825342466,1
136,100,528,40.90909091,0.015151515,0.068764569,1.444444444,1
-238,-168,-904,61.36249372,-0.014338386,-0.132075472,0.629659975,1
-90,-370,2748,35.59748428,0.041224971,-0.037434896,1.809187279,1
81,-3,339,40.38570618,0.058988764,0.037107517,1.476123596,1
57,-175,575,38.74755382,0.117171717,-0.037699681,1.580808081,1
-42,88,-212,53.33543109,-0.038348083,0.015509103,0.874926254,1
11,-87,403,40.10800196,0.05997552,-0.031147541,1.493268054,1
1877,873,1439,43.19106653,0.109991236,0.229052141,1.315293602,1
37,85,-933,59.78602895,-0.008421053,0.031820553,0.672631579,1
-163,-111,173,47.87207872,-0.01336074,-0.064653138,1.088900308,1
231,175,525,42.82982792,0.017857143,0.096989967,1.334821429,1
35,27,-493,64.24032351,0.003597122,0.050080775,0.556654676,1
291,97,133,47.97441365,0.061587302,0.113583138,1.084444444,1
148,-16,200,45.26515152,0.085774059,0.057093426,1.209205021,1
61,-29,-391,53.51681957,0.01512605,0.00619195,0.868571429,1
273,-49,303,46.13618975,0.088999447,0.053030303,1.167495854,1
446,268,498,43.10631229,0.057161207,0.173722628,1.319845857,1
10,-204,68,49.23800986,0.048702777,-0.042825607,1.030951297,1
211,-135,1251,40.07930214,0.068460625,0.010058232,1.495053423,1
125,185,1045,37.60967512,-0.018915511,0.058912961,1.65889029,1
1388,668,1940,39.9335824,0.093555094,0.177608846,1.504158004,1
454,264,942,39.42048518,0.054131054,0.133110864,1.536752137,1
330,430,-832,56.28019324,-0.013412017,0.13121547,0.776824034,1
-29,-5,747,37.06269484,-0.011214953,-0.009356081,1.698130841,1
180,-264,974,39.38997821,0.122787611,-0.015097052,1.538716814,1
-25,9,-139,71.78683386,-0.074235808,-0.088888889,0.3930131,1
-280,-44,-1194,56.52744369,-0.022823985,-0.040744467,0.769052224,1
182,122,232,46.89839572,0.017103763,0.07653575,1.132269099,1
-124,-106,100,47.62583096,-0.008973081,-0.104261106,1.099700897,1
-139,-127,-687,59.86785406,-0.002879079,-0.095204009,0.670345489,1
699,31,1581,40.97293594,0.093088071,0.070613271,1.440635452,1
174,40,-696,58.61812779,0.028305872,0.064033513,0.705956907,1
198,194,432,45.18716578,0.000986193,0.079674797,1.213017751,1
-173,-301,3563,34.74089936,0.015779093,-0.031106444,1.878451677,1
159,-127,483,41.00558659,0.129881926,0.01010101,1.438692098,1
455,195,225,45.64122433,0.110356537,0.231646472,1.191001698,1
62,208,-294,52.22592368,-0.021165555,0.042789223,0.914757901,1
8,-34,-660,59.70017637,0.010339734,-0.00948213,0.675036928,1
298,70,362,40.9227683,0.139705882,0.156196944,1.443627451,1
132,26,-748,57.14558655,0.017719826,0.035220687,0.749916416,1
-34,-24,368,39.55732123,-0.007173601,-0.027230047,1.527977044,1
0,-160,1266,39.45351549,0.033783784,-0.022014309,1.534628378,1
28,150,182,45.48611111,-0.066521265,0.080982712,1.198473282,1
143,165,-405,58.40597758,-0.007818053,0.153692615,0.712153518,1
424,78,1304,38.31959871,0.080878915,0.072901539,1.609630669,1
218,96,-96,51.30081301,0.032223983,0.087367835,0.949286846,1
203,-27,773,42.29312064,0.054219708,0.03040774,1.364450731,1
-62,-300,-554,56.41203704,0.048830529,-0.096123208,0.772671317,1
82,-322,222,47.86784479,0.08105939,-0.044215181,1.089085072,1
-181,-303,345,45.49255291,0.035037335,-0.116011505,1.198161976,1
140,-296,2402,37.10543268,0.063078704,-0.013315125,1.695023148,1
-127,15,1261,43.10702963,-0.018006594,-0.010760953,1.319807253,1
306,242,-362,55.57609365,0.017738359,0.19001387,0.799334812,1
128,72,-1508,66.84539768,0.009358289,0.067385445,0.495989305,1
122,-104,786,42.99714897,0.046829673,0.002813379,1.325735599,1
202,92,372,39.58566629,0.077793494,0.136237257,1.526166902,1
40,16,-1016,64.75029036,0.005381166,0.02306425,0.544394619,1
-651,781,-2133,68.58337689,-0.181910569,0.036051026,0.458079268,1
-21,25,-171,69.65517241,-0.075907591,0.015151515,0.435643564,1
-315,-47,25,49.80174465,-0.042675159,-0.057187994,1.007961783,1
-292,-108,-200,53.05997552,-0.053056517,-0.130378096,0.884659746,1
-152,-130,-2002,64.68603286,-0.002494897,-0.058579144,0.545928782,1
-6,220,-1632,66.63269466,-0.034567146,0.06536347,0.50076476,1
118,18,-258,64.55981941,0.087412587,0.21656051,0.548951049,1
75,93,-239,52.01892212,-0.002923027,0.029577465,0.922377395,1
158,-10,-84,52.27765727,0.087136929,0.084090909,0.912863071,1
584,324,-696,55.90631365,0.039465695,0.174749808,0.78870674,1
69,-41,189,46.18181818,0.048118985,0.010510511,1.165354331,1
-211,-169,261,44.76953908,-0.018800358,-0.137880987,1.233661594,1
-55,-757,-355,52.57582354,0.096881038,-0.124235006,0.902014905,1
73,13,153,47.64252696,0.019404916,0.025309005,1.098965071,1
174,212,-450,57.06658291,-0.010456797,0.141185077,0.75233902,1
466,262,1464,38.06262231,0.043701799,0.095839916,1.627249357,1
314,156,1086,40.98006645,0.0320227,0.066141289,1.440210782,1
55,-29,871,34.68167429,0.042596349,0.007000539,1.88336714,1
479,85,205,46.5076661,0.144322344,0.179617834,1.15018315,1
81,-27,-345,53.7120723,0.021634615,0.012552301,0.861778846,1
83,-85,-283,58.05350028,0.082352941,-0.001356852,0.72254902,1
-89,15,-1129,68.89856043,-0.02526725,-0.039827772,0.451409135,1
-162,272,-178,51.01505474,-0.048513302,0.012805588,0.960205679,1
128,88,-468,51.875,0.00308928,0.017982018,0.927710843,1
184,134,566,41.57738095,0.01789549,0.080998472,1.405153901,1
293,-23,1151,35.60890223,0.110955056,0.052427184,1.808286517,1
55,13,59,43.65591398,0.103448276,0.129770992,1.290640394,1
13,9,139,46.11948632,0.002421308,0.011398964,1.168280872,1
260,-508,1856,40.94810769,0.09147213,-0.020482326,1.442115293,1
-41,-71,-717,64.33426629,0.009322561,-0.062780269,0.554381603,1
-293,331,-1111,61.27918782,-0.103379722,0.009963293,0.631875414,1
-83,145,-473,59.17022102,-0.074705111,0.029439696,0.690039318,1
15,-141,325,45.56132204,0.04676259,-0.031610637,1.194844125,1
35,-83,1099,41.85805304,0.020884956,-0.006116208,1.389026549,1
151,-221,2369,36.00708801,0.061023622,-0.006461141,1.777230971,1
-113,93,-427,54.38308356,-0.038882597,-0.00450045,0.838807097,1
-166,82,-1230,64.7199617,-0.045857988,-0.028493894,0.545118343,1
336,-172,1100,40.09365994,0.11410602,0.024654239,1.494159928,1
200,-64,576,37.21136767,0.1575179,0.048090523,1.687350835,1
-235,21,-411,56.03524229,-0.067085954,-0.071476286,0.784591195,1
-174,94,-810,67.44186047,-0.085568327,-0.052910053,0.482758621,1
19,-3,-771,66.88567674,0.007203667,0.010582011,0.495088409,1
-28,20,-984,64.13793103,-0.010752688,-0.003205128,0.559139785,1
126,194,376,45.2811245,-0.018847007,0.073394495,1.208425721,1
100,-4,32,48.93333333,0.070844687,0.062663185,1.04359673,1
-8,174,-750,59.21828909,-0.03777501,0.050030139,0.688667497,1
-2,-18,-182,56.25859697,0.009779951,-0.01572327,0.777506112,1
260,122,-752,53.27926042,0.011294811,0.035654284,0.87690293,1
60,76,-1322,65.82096697,-0.002909091,0.047619048,0.519272727,1
-66,-18,-306,55.96258769,-0.016713092,-0.037168142,0.786908078,1
-136,-180,1276,34.27021696,0.015827338,-0.059264816,1.917985612,1
-16,154,-762,64.32330827,-0.049678551,0.072708114,0.554646406,1
921,335,1241,41.16977373,0.101278949,0.151910982,1.428966471,1
-30,242,-944,60.18998273,-0.048780488,0.057483731,0.661406026,1
-156,6,-396,54.27276651,-0.032206759,-0.035394054,0.842544732,1
-261,447,-1271,62.13481001,-0.108789183,0.046898638,0.609403811,1
46,68,258,46.8900675,-0.005655527,0.025873808,1.132647815,1
278,260,-886,54.73290598,0.001756783,0.063488317,0.82705446,1
-63,67,233,42.6031746,-0.096870343,0.002212389,1.347242921,1
-23,279,-1393,67.9094883,-0.057175312,0.102564103,0.472548277,1
87,107,-613,61.5791462,-0.006134969,0.095378564,0.62392638,1
129,83,-835,63.16619363,0.011482776,0.090753425,0.583125312,1
41,-81,-933,57.40828966,0.016874136,-0.007457122,0.741908714,1
145,111,21,49.5285137,0.015412511,0.113879004,1.019038985,1
64,84,-512,57.5739645,-0.005138746,0.051603905,0.736896197,1
-179,83,-985,65.50204596,-0.062950505,-0.04379562,0.52666987,1
74,-172,1146,35.42726348,0.088298636,-0.019298937,1.822684853,1
-22,44,-448,64.87383798,-0.033776868,0.020793951,0.541453429,1
211,79,533,43.02538602,0.040145985,0.06660542,1.324209246,1
209,85,711,38.28665568,0.053356282,0.078483716,1.611876076,1
421,7,677,44.05618964,0.082502989,0.067168864,1.269828617,1
52,114,-646,58.46436059,-0.013895114,0.052365931,0.710443747,1
0,-10,86,47.91666667,0.005055612,-0.004651163,1.086956522,1
870,404,1194,41.24633431,0.082829719,0.158971799,1.424457874,1
368,358,-122,50.63330565,0.00102522,0.076340694,0.974984622,1
-220,8,-328,59.17225951,-0.107750473,-0.145205479,0.689981096,1
-91,283,209,47.00658837,-0.113954906,0.051891892,1.127361365,1
-217,411,-2109,67.25576829,-0.076399027,0.048475762,0.486861314,1
169,-71,813,44.62940943,0.035523979,0.01169172,1.240674956,1
125,83,443,38.90836254,0.027027027,0.085245902,1.57014157,1
-112,2,-50,51.1682243,-0.052054795,-0.052631579,0.9543379,1
161,73,-533,57.97188154,0.022703818,0.083274021,0.7249742,1
86,110,134,45.5978975,-0.017291066,0.118357488,1.193083573,1
747,-75,3805,37.31920283,0.073405965,0.035729477,1.67958564,1
-732,480,-1732,57.38655749,-0.090071344,-0.025220176,0.742568371,1
-19,-223,1493,38.72526809,0.039781591,-0.029824994,1.582293292,1
96,46,1434,38.42054264,0.010508617,0.018620509,1.602774275,1
190,-62,782,36.28070175,0.121856867,0.035242291,1.756286267,1
356,288,930,40.97788126,0.016098485,0.105851414,1.440340909,1
76,-56,62,47.55905512,0.109271523,0.015015015,1.102649007,1
-65,81,-291,56.60463005,-0.058540497,0.008368201,0.766639936,1
121,103,-469,61.76618164,0.007311129,0.146981627,0.619008936,1
45,-23,291,42.57274119,0.040767386,0.009777778,1.348920863,1
-2,-100,1798,37.00867052,0.019133151,-0.011699931,1.702069504,1
209,65,1331,41.67604753,0.021608643,0.029380227,1.399459784,1
397,205,407,43.2593574,0.073506891,0.17571512,1.311638591,1
426,-66,2028,36.42933619,0.090374724,0.037894737,1.745040411,1
87,-1,113,46.40813732,0.060273973,0.051008304,1.154794521,1
308,-196,1208,40.30808729,0.100318471,0.015053763,1.48089172,1
170,-24,-250,63.52813853,0.165247019,0.216617211,0.574105622,1
64,-116,-360,53.59138069,0.033507074,-0.011177988,0.865971705,1
61,-13,-161,53.6774783,0.031489362,0.023668639,0.862978723,1
-92,-90,-1128,57.74087291,-0.000237699,-0.02955505,0.731875446,1
99,-245,971,39.38797814,0.095449501,-0.026325279,1.538845727,1
217,-143,-263,54.0473992,0.102505695,0.024782317,0.85022779,1
-9,-145,-69,51.18353345,0.045576408,-0.054111033,0.953753351,1
-88,-36,-182,52.95646524,-0.01595092,-0.04281768,0.888343558,1
131,305,-949,58.27087328,-0.026024529,0.091060986,0.716123243,1
-7,-41,-341,57.42272529,0.012888552,-0.024539877,0.741470811,1
-179,-161,1395,36.87182383,-0.004594181,-0.050685748,1.712098009,1
-609,-381,-437,52.37216372,-0.023631841,-0.112833371,0.909411277,1
-54,-298,910,42.98921418,0.043727599,-0.047567568,1.326164875,1
-30,-242,3134,35.87015329,0.026646556,-0.01912261,1.787833082,1
95,105,-595,57.34386571,-0.002152389,0.05787037,0.743865691,1
-35,-103,115,47.69539078,0.028571429,-0.052873563,1.096638655,1
45,37,-251,51.38383504,0.000858369,0.009299161,0.946137339,1
180,346,-604,56.09116579,-0.029845379,0.120808452,0.782811938,1
-194,78,-534,58.62960569,-0.074972437,-0.0453125,0.705622933,1
-17,-173,209,48.4786723,0.023423423,-0.026843741,1.062762763,1
370,66,56,49.22907489,0.085011186,0.118221258,1.031319911,1
85,-31,-1319,62.54517786,0.017639903,0.013712544,0.598844282,1
106,-24,196,45.68281938,0.06268081,0.03325223,1.18900675,1
730,144,938,35.41666667,0.257243196,0.210399615,1.823529412,1
-175,-113,-539,59.05882353,-0.017643711,-0.118226601,0.693227092,1
155,-159,-1101,56.34143532,0.032099775,-0.000527704,0.77489266,1
53,-509,25,49.75581168,0.110325874,-0.088646967,1.009815469,1
296,68,558,39.22779923,0.112204724,0.115628971,1.549212598,1
-69,183,-749,63.8961039,-0.073170732,0.058581706,0.56504065,1
52,172,-932,63.20861678,-0.02690583,0.086286595,0.58206278,1
-50,96,100,47.61222541,-0.073219659,0.020966272,1.100300903,1
-601,199,-915,59.6580114,-0.141542817,-0.105180534,0.676220807,1
-9,137,-359,56.04988204,-0.043896572,0.049079755,0.784125075,1
198,-86,120,46.44549763,0.181122449,0.061946903,1.153061224,1
-135,15,-1133,66.08917921,-0.032230339,-0.050251256,0.513107005,1
219,109,-1389,64.4657363,0.017770598,0.096131301,0.551211632,1
574,-150,-854,54.53579775,0.070510323,0.04953271,0.833657966,1
-341,-257,-81,50.4376013,-0.008997429,-0.065184216,0.982647815,1
-277,257,-1461,60.76639646,-0.064758671,-0.003756574,0.645646374,1
-241,-37,-997,58.67409083,-0.03024911,-0.058526316,0.704329775,1
55,21,159,41.01694915,0.046831956,0.072796935,1.438016529,1
151,1,133,45.88235294,0.101214575,0.086956522,1.179487179,1
80,-122,-26,50.65789474,0.100899101,-0.021538462,0.974025974,1
-34,-12,-772,61.02227299,-0.005147403,-0.016849817,0.638745905,1
76,22,-478,58.70991254,0.016759777,0.043248014,0.703289882,1
78,414,-64,50.7518797,-0.077777778,0.117366412,0.97037037,1
279,21,-869,67.48490946,0.076923077,0.185643564,0.481812761,1
4,-734,994,46.37543757,0.058027992,-0.049639603,1.156313886,1
382,64,536,42.32091691,0.107650643,0.11077993,1.362897766,1
-82,198,104,48.58078603,-0.078651685,0.030785563,1.058426966,1
84,88,-648,57.72163966,-0.000825764,0.048478016,0.732452519,1
-612,-716,1886,41.83266932,0.010766046,-0.098868374,1.39047619,1
317,-61,-623,61.9669612,0.11717297,0.129292929,0.613763174,1
-11,239,-639,61.2223393,-0.071715433,0.10326087,0.633390706,1
325,-69,1327,40.84701338,0.066531577,0.029850746,1.448159406,1
9,-35,-41,51.21230041,0.025404157,-0.015757576,0.952655889,1
4,-16,-72,57.5,0.036231884,-0.029411765,0.739130435,1
-253,87,865,43.68520952,-0.056818182,-0.021519316,1.289104278,1
246,364,-1792,59.07801418,-0.010118333,0.075513741,0.692677071,1
117,183,-85,51.59954836,-0.024070022,0.116640747,0.938001459,1
-306,210,-1236,60.4816825,-0.072349972,-0.020600858,0.653393158,1
111,41,-917,65.78313253,0.018315018,0.076458753,0.52014652,1
530,608,-1514,60.05045141,-0.008622596,0.189099369,0.665266416,1
-198,48,-852,59.11424904,-0.04451683,-0.039246468,0.691639522,1
-127,559,-1507,62.57719913,-0.091491064,0.096342551,0.59802614,1
-146,-464,1316,39.25187847,0.066167291,-0.082011293,1.547648772,1
266,-68,-1298,66.00098619,0.062383265,0.071791153,0.515128876,1
184,48,-770,63.34026334,0.037199125,0.109640832,0.578774617,1
-258,154,-968,65.75520833,-0.101980198,-0.049429658,0.520792079,1
16,-4,-484,59.57278481,0.006640106,0.005870841,0.678618858,1
74,-12,-1022,61.17672791,0.015373615,0.017464789,0.634608509,1
-113,-21,-539,61.91950464,-0.032857143,-0.077816492,0.615,1
263,365,-419,54.38009617,-0.019607843,0.143904675,0.838908112,1
183,423,-1287,58.89672335,-0.028169014,0.101917255,0.697887324,1
103,137,-507,58.85434859,-0.010089021,0.101867572,0.699109792,1
22,114,-568,61.23417722,-0.029715762,0.069387755,0.633074935,1
48,-4,-98,51.29424194,0.01338826,0.011930586,0.94953656,1
96,80,-332,53.18495779,0.002886003,0.036065574,0.88023088,1
138,-6,-482,61.71039845,0.056692913,0.083756345,0.620472441,1
13,479,-355,51.50487495,-0.038353909,0.043006993,0.941563786,1
145,83,-495,57.24743777,0.015856777,0.078082192,0.746803069,1
-21,25,-1773,64.66501241,-0.005883858,0.00093633,0.546431312,1
38,-170,-970,62.05867727,0.041666667,-0.043250328,0.611378205,1
-224,-20,-850,59.89753144,-0.039657854,-0.070847851,0.669517885,1
322,-26,-92,51.53333333,0.112548512,0.101788171,0.940491591,1
1,-19,-227,54.04634581,0.006596306,-0.006982157,0.850263852,1
-206,-242,1998,43.73981702,0.002578797,-0.024949877,1.286246418,1
29,-5,-193,58.67026056,0.026033691,0.026086957,0.704441041,1
-108,8,-1002,69.80237154,-0.032842582,-0.065445026,0.432616082,1
151,-73,-193,55.84494246,0.121475054,0.053497942,0.790672451,1
220,-154,-448,54.85478977,0.07388384,0.015842535,0.822994864,1
-117,57,-839,66.3420335,-0.051086318,-0.034722222,0.507339988,1
239,-313,-467,53.47211896,0.076751947,-0.011824864,0.870133482,1
45,-67,7,49.55974843,0.14213198,-0.027431421,1.017766497,1
109,-31,827,42.48591677,0.02994012,0.012322275,1.353721129,1
28,40,-44,51.11111111,-0.005928854,0.035123967,0.956521739,1
301,-37,239,43.02393462,0.229308005,0.135245902,1.324287653,1
148,-124,150,45.42124542,0.182795699,0.013422819,1.201612903,1
21,-99,-119,53.91190007,0.073170732,-0.055634807,0.854878049,1
46,-106,-1082,66.32468316,0.034576888,-0.02688172,0.507734304,1
97,-181,-185,54.62268866,0.127172919,-0.046255507,0.83074108,1
-13,33,-163,62.83464567,-0.05764411,0.042372881,0.591478697,1
525,-31,685,40.31665253,0.194950912,0.117006158,1.480364656,1
677,-15,-761,57.6237227,0.120305981,0.156501182,0.735396384,1
39,77,-351,59.48136143,-0.017257039,0.077333333,0.68119891,1
-188,0,-620,61.41384389,-0.056354916,-0.089694656,0.628297362,1
-194,6,-594,61.44949884,-0.062735257,-0.094,0.627352572,1
164,-122,50,49.57912458,0.048556876,0.007011686,1.016977929,1
-62,-70,-626,61.63568773,0.002412545,-0.063953488,0.622436671,1
575,-123,2079,38.21562181,0.10353011,0.04146789,1.61673094,1
-50,-138,-768,58.67208672,0.016936105,-0.05136612,0.704387991,1
-178,-292,1196,44.25993473,0.012361744,-0.0404684,1.259379744,1
-205,-27,1119,39.96052395,-0.039964077,-0.034668261,1.50246969,1
1422,910,3256,35.57249202,0.063776781,0.160385144,1.811160937,1
165,127,583,37.2651813,0.022274326,0.101671309,1.683470106,1
120,-582,2362,37.66708438,0.097310785,-0.03869995,1.654837815,1
-49,73,901,43.02955284,-0.021934556,0.003259098,1.323984178,1
68,-76,-548,62.90018832,0.053892216,-0.005076142,0.589820359,1
138,-406,1876,39.07269338,0.081097197,-0.025621415,1.559332141,1
-75,187,-1157,65.76723903,-0.054289266,0.044585987,0.520513883,1
303,-229,957,38.95684283,0.157582938,0.013988658,1.566943128,1
-52,-22,-334,60.46365915,-0.015544041,-0.058637084,0.65388601,1
-345,53,-5,50.07939028,-0.126188966,-0.092875318,0.996829423,1
158,38,488,39.10714286,0.068493151,0.071847507,1.557077626,1
110,48,1564,39.36054422,0.01071552,0.017724927,1.540615278,1
68,10,-614,62.37903226,0.01874596,0.041800643,0.60310278,1
-803,31,2863,39.2376513,-0.079900364,-0.047760455,1.548572523,1
-116,4,-1262,65.5342196,-0.022539444,-0.04,0.525920361,1
143,-13,-231,57.43721829,0.087443946,0.098335855,0.74103139,1
247,63,167,48.00763541,0.045725646,0.071133547,1.083001988,1
-377,-263,373,47.01838529,-0.019381163,-0.096560048,1.12682761,1
-100,-54,-516,59.57683742,-0.014330218,-0.070707071,0.678504673,1
144,-124,50,49.57468527,0.0459849,0.003373819,1.017158545,1
-130,-46,-870,61.82707993,-0.018469657,-0.062678063,0.617414248,1
5,-1,-571,62.95960054,0.002162942,0.00245098,0.588320115,1
-25,195,-1337,60.42088854,-0.028379773,0.033477747,0.65505676,1
58,-34,-1032,58.7755102,0.013310185,0.004950495,0.701388889,1
83,49,-507,62.10023866,0.013066872,0.083123426,0.610299769,1
-11,47,-313,55.19415865,-0.017438364,0.013333333,0.811785929,1
-81,-233,-1063,58.92827146,0.021664766,-0.064212679,0.696978335,1
-72,-36,-480,65.38461538,-0.017647059,-0.1,0.529411765,1
-192,-74,-32,50.21627467,-0.015881561,-0.036111865,0.991386272,1
-40,144,-1880,69.23076923,-0.027186761,0.034574468,0.444444444,1
-271,45,-2319,64.33428112,-0.030361261,-0.039168111,0.554381245,1
191,-33,211,44.47933019,0.131764706,0.074458058,1.248235294,1
154,30,-458,53.16911154,0.016137428,0.027186761,0.880791255,1
312,-82,1958,40.82646177,0.045214597,0.01821061,1.449391783,1
563,269,801,40.82894436,0.082445317,0.160990712,1.449242849,1
30,-110,652,35.07326007,0.091383812,-0.028208745,1.851174935,1
-21,39,633,43.09102816,-0.015197568,0.003452244,1.320668693,1
160,-10,196,47.86492375,0.038689122,0.031341412,1.089212563,1
99,-35,-483,64.01625073,0.060743427,0.051612903,0.562103354,1
8,-44,-706,63.18147872,0.01536643,-0.018255578,0.582742317,1
146,-104,-8,50.14738394,0.091844232,0.015521064,0.994121969,1
54,-122,94,47.58478931,0.095032397,-0.033333333,1.101511879,1
230,-52,-362,59.40748441,0.12335958,0.113956466,0.683289589,1
109,-49,249,40.6741573,0.145488029,0.037878788,1.458563536,1
-13,77,-461,61.20563928,-0.035742653,0.040100251,0.633836378,1
267,-29,-445,63.88022458,0.14453125,0.20552677,0.565429688,1
177,197,-599,63.43651862,-0.007072136,0.229447853,0.576379066,1
-11,25,-645,61.23301985,-0.010238908,0.006289308,0.633105802,1
-102,360,-2018,63.18609514,-0.047776629,0.045793397,0.58262668,1
-157,285,-535,66.52254478,-0.205199629,0.118081181,0.503249768,1
55,55,-505,61.58788435,0,0.065710872,0.623695976,1
-11,-87,-833,64.94438464,0.020994475,-0.050153531,0.539779006,1
83,169,-405,62.10400478,-0.041385948,0.19873817,0.610202117,1
205,81,-325,58.81714596,0.057195572,0.188405797,0.700184502,1
