CatBoost,KNN,LR,RF,SVM
0.697749196,0.678456592,0.666666667,0.681672026,0.683815648
0.688102894,0.692390139,0.675241158,0.680600214,0.672025723
0.699570815,0.683476395,0.663090129,0.700643777,0.669527897
0.688841202,0.692060086,0.679184549,0.677038627,0.675965665
0.673819742,0.670600858,0.681330472,0.679184549,0.662017167
0.682743837,0.68488746,0.670953912,0.694533762,0.670953912
0.67738478,0.689174705,0.640943194,0.679528403,0.665594855
0.679184549,0.657725322,0.670600858,0.684549356,0.669527897
0.703862661,0.697424893,0.686695279,0.697424893,0.698497854
0.692060086,0.678111588,0.681330472,0.675965665,0.673819742
0.70096463,0.688102894,0.676312969,0.679528403,0.673097535
0.680600214,0.683815648,0.650589496,0.663451233,0.67738478
0.703862661,0.697424893,0.679184549,0.707081545,0.693133047
0.680257511,0.669527897,0.681330472,0.678111588,0.657725322
0.689914163,0.684549356,0.675965665,0.675965665,0.662017167
0.70096463,0.697749196,0.669882101,0.685959271,0.672025723
0.703108253,0.691318328,0.672025723,0.702036442,0.680600214
0.689914163,0.662017167,0.690987124,0.679184549,0.665236052
0.689914163,0.689914163,0.668454936,0.670600858,0.682403433
0.677038627,0.677038627,0.665236052,0.693133047,0.658798283
0.723472669,0.692390139,0.664523044,0.713826367,0.687031083
0.67738478,0.691318328,0.665594855,0.685959271,0.687031083
0.668454936,0.639484979,0.665236052,0.677038627,0.642703863
0.692060086,0.689914163,0.685622318,0.699570815,0.690987124
0.71888412,0.686695279,0.677038627,0.688841202,0.665236052
0.693461951,0.685959271,0.70096463,0.695605573,0.65380493
0.681672026,0.67738478,0.643086817,0.682743837,0.668810289
0.659871245,0.666309013,0.666309013,0.667381974,0.686695279
0.701716738,0.673819742,0.672746781,0.678111588,0.67167382
0.716738197,0.707081545,0.673819742,0.709227468,0.681330472
0.695605573,0.668810289,0.685959271,0.689174705,0.654876742
0.680600214,0.688102894,0.675241158,0.667738478,0.678456592
0.698497854,0.694206009,0.678111588,0.698497854,0.670600858
0.688841202,0.679184549,0.674892704,0.686695279,0.652360515
0.69527897,0.674892704,0.641630901,0.67167382,0.69527897
0.711682744,0.685959271,0.67738478,0.683815648,0.689174705
0.697749196,0.674169346,0.676312969,0.681672026,0.670953912
0.669527897,0.672746781,0.679184549,0.668454936,0.669527897
0.724248927,0.706008584,0.668454936,0.710300429,0.682403433
0.675965665,0.658798283,0.658798283,0.667381974,0.659871245
0.696677385,0.664523044,0.676312969,0.663451233,0.640943194
0.691318328,0.675241158,0.669882101,0.670953912,0.692390139
0.707081545,0.700643777,0.672746781,0.689914163,0.681330472
0.690987124,0.696351931,0.679184549,0.685622318,0.667381974
0.688841202,0.688841202,0.667381974,0.688841202,0.668454936
0.718113612,0.702036442,0.658092176,0.710610932,0.704180064
0.68488746,0.70096463,0.689174705,0.67738478,0.67738478
0.678111588,0.67167382,0.667381974,0.680257511,0.660944206
0.711373391,0.689914163,0.674892704,0.704935622,0.681330472
0.679184549,0.662017167,0.662017167,0.66416309,0.663090129
0.703108253,0.687031083,0.670953912,0.675241158,0.674169346
0.673097535,0.685959271,0.664523044,0.702036442,0.681672026
0.694206009,0.694206009,0.697424893,0.690987124,0.655579399
0.668454936,0.663090129,0.653433476,0.666309013,0.657725322
0.7027897,0.686695279,0.665236052,0.703862661,0.680257511
0.704180064,0.689174705,0.660235798,0.687031083,0.678456592
0.699892819,0.689174705,0.648445874,0.689174705,0.674169346
0.700643777,0.677038627,0.679184549,0.698497854,0.663090129
0.699570815,0.680257511,0.68776824,0.670600858,0.66416309
0.66416309,0.680257511,0.675965665,0.667381974,0.67167382
0.674169346,0.695605573,0.681672026,0.693461951,0.672025723
0.695605573,0.680600214,0.680600214,0.683815648,0.687031083
0.721030043,0.68776824,0.655579399,0.693133047,0.674892704
0.711373391,0.679184549,0.694206009,0.708154506,0.668454936
0.679184549,0.683476395,0.651287554,0.658798283,0.660944206
0.707395498,0.697749196,0.668810289,0.704180064,0.699892819
0.67738478,0.681672026,0.67738478,0.683815648,0.652733119
0.686695279,0.669527897,0.643776824,0.66416309,0.652360515
0.688841202,0.682403433,0.681330472,0.688841202,0.66416309
0.682403433,0.678111588,0.684549356,0.680257511,0.670600858
