CatBoost,KNN,LR,RF,SVM
0.637532134,0.577464789,0.576870748,0.595918367,0.570596798
0.620599739,0.579795022,0.580912863,0.586111111,0.533536585
0.632545932,0.56166419,0.581333333,0.620408163,0.530487805
0.602739726,0.563165906,0.599732262,0.571834993,0.542424242
0.583561644,0.541106129,0.611764706,0.579465541,0.516129032
0.598915989,0.554545455,0.58002736,0.59688826,0.518053375
0.599201065,0.565868263,0.551539491,0.587586207,0.528700906
0.595399188,0.523168909,0.587919463,0.593922652,0.544378698
0.632,0.593659942,0.60326087,0.60724234,0.574886536
0.61682243,0.566473988,0.610747051,0.584022039,0.542168675
0.621438263,0.571428571,0.595174263,0.574679943,0.542728636
0.61498708,0.570596798,0.561827957,0.568681319,0.552748886
0.632978723,0.581602374,0.611183355,0.626538988,0.571856287
0.592896175,0.536144578,0.594815825,0.568965517,0.497637795
0.632782719,0.571428571,0.585164835,0.585164835,0.536082474
0.623481781,0.584070796,0.56,0.582025678,0.540540541
0.623129252,0.571428571,0.592,0.620218579,0.545731707
0.624187256,0.530551416,0.614973262,0.592087312,0.528700906
0.611036339,0.581765557,0.593955322,0.573018081,0.550151976
0.61656051,0.554074074,0.588390501,0.613513514,0.530973451
0.657824934,0.572280179,0.58322237,0.639676113,0.554878049
0.598130841,0.573964497,0.578378378,0.593619972,0.562874251
0.606369427,0.507331378,0.584,0.581363004,0.49924812
0.61986755,0.575624082,0.604588394,0.608938547,0.564954683
0.647849462,0.564179104,0.592692828,0.584527221,0.52293578
0.615591398,0.556732224,0.621438263,0.596590909,0.503840246
0.610747051,0.565656566,0.56010568,0.584269663,0.551523948
0.589909444,0.551226551,0.57221458,0.587765957,0.574344023
0.622282609,0.536585366,0.594953519,0.576271186,0.527777778
0.647058824,0.604920405,0.588075881,0.620979021,0.542372881
0.614130435,0.533936652,0.601360544,0.596100279,0.506134969
0.616966581,0.584878745,0.597609562,0.571823204,0.558823529
0.628797886,0.580265096,0.593495935,0.611341632,0.539730135
0.603825137,0.559646539,0.588873813,0.594444444,0.488958991
0.622340426,0.544360902,0.554666667,0.562857143,0.572289157
0.641810919,0.565925926,0.588235294,0.59197787,0.556574924
0.62992126,0.54491018,0.594086022,0.58345021,0.53129771
0.592592593,0.541353383,0.600801068,0.571428571,0.538922156
0.655033557,0.595870206,0.581867388,0.627071823,0.544615385
0.602631579,0.537790698,0.580474934,0.565826331,0.52757079
0.630065359,0.545718433,0.589673913,0.567493113,0.482225657
0.613941019,0.549777117,0.6,0.566995769,0.568421053
0.639365918,0.580451128,0.592790387,0.595804196,0.550680787
0.623036649,0.584434655,0.590971272,0.599179207,0.545454545
0.593837535,0.571005917,0.574175824,0.583333333,0.520930233
0.649800266,0.592375367,0.574098798,0.622905028,0.589285714
0.612137203,0.597402597,0.612299465,0.584827586,0.546003017
0.597855228,0.564102564,0.577656676,0.59400545,0.525525526
0.63795424,0.587731812,0.597609562,0.62585034,0.566423358
0.599732262,0.497607656,0.565517241,0.537666174,0.498402556
0.631158455,0.57925072,0.585695007,0.583218707,0.535168196
0.606451613,0.568483063,0.580990629,0.628342246,0.552036199
0.619492657,0.583941606,0.633766234,0.605479452,0.51874063
0.589641434,0.540935673,0.556927298,0.565034965,0.524590164
0.622100955,0.542319749,0.582887701,0.594117647,0.525477707
0.641558442,0.594972067,0.585620915,0.608579088,0.562682216
0.62962963,0.565868263,0.538028169,0.594972067,0.542168675
0.627503338,0.550074738,0.58872077,0.602545969,0.515432099
0.617486339,0.560471976,0.611481976,0.563300142,0.522137405
0.584329349,0.553892216,0.600529101,0.562146893,0.533536585
0.595744681,0.593123209,0.601342282,0.604972376,0.547337278
0.631168831,0.556547619,0.590659341,0.587412587,0.558912387
0.648648649,0.563718141,0.564450475,0.607142857,0.531684699
0.634013605,0.544901065,0.620505992,0.610315186,0.511848341
0.606060606,0.570596798,0.567243675,0.559556787,0.528358209
0.643137255,0.582840237,0.578444748,0.621917808,0.583333333
0.598130841,0.562592047,0.598130841,0.590846047,0.51641791
0.620779221,0.561253561,0.552560647,0.57414966,0.509090909
0.615384615,0.565982405,0.603471295,0.596100279,0.523592085
0.591160221,0.548192771,0.595041322,0.565597668,0.504038772
0.619422572,0.571018651,0.563265306,0.582633053,0.52757079
0.615584416,0.56402439,0.600790514,0.578279267,0.540958269
0.617842876,0.579025111,0.596443228,0.561452514,0.542986425
0.632432432,0.576980568,0.579514825,0.607092199,0.560606061
0.626131953,0.557471264,0.601889339,0.581081081,0.534306569
0.622641509,0.556923077,0.602122016,0.602272727,0.542113323
0.581578947,0.563583815,0.566347469,0.594164456,0.543543544
0.622994652,0.565088757,0.600543478,0.608333333,0.541353383
0.590967742,0.548148148,0.591700134,0.550206327,0.538116592
0.621067031,0.554396423,0.572614108,0.561959654,0.532724505
0.597093791,0.552517986,0.600543478,0.571034483,0.534711965
0.626344086,0.559757943,0.59602649,0.577586207,0.513931889
0.618610747,0.569784173,0.568306011,0.617647059,0.536656891
0.606648199,0.56,0.559670782,0.586552217,0.533333333
0.603133159,0.561959654,0.612987013,0.571819425,0.558208955
0.604527297,0.531914894,0.58436214,0.596393897,0.536953243
0.621803499,0.568011958,0.608465608,0.598601399,0.534775889
0.592,0.518628912,0.595862069,0.561549101,0.496217852
0.625492773,0.579710145,0.575596817,0.602816901,0.576168929
0.624836601,0.581497797,0.589167768,0.60251046,0.548192771
0.622617535,0.570212766,0.581005587,0.592991914,0.561863173
0.632411067,0.546805349,0.574496644,0.616643929,0.536873156
0.619047619,0.560357675,0.575268817,0.575070822,0.539534884
0.604904632,0.541732283,0.584980237,0.599167822,0.558139535
0.609756098,0.577319588,0.620782726,0.55064194,0.514637904
0.606138107,0.593220339,0.591700134,0.593406593,0.565597668
0.62835249,0.532942899,0.604278075,0.59527121,0.51951952
0.640419948,0.585438336,0.613079019,0.603042877,0.553323029
0.610215054,0.554216867,0.568707483,0.569405099,0.497695853
0.605898123,0.569321534,0.561497326,0.583333333,0.539634146
0.633952255,0.560939794,0.598639456,0.583214794,0.506024096
0.612466125,0.583458647,0.598445596,0.625514403,0.556574924
0.630208333,0.563421829,0.575757576,0.625514403,0.53313253
0.595238095,0.571847507,0.608125819,0.591428571,0.54853621
0.608465608,0.532934132,0.577348066,0.564383562,0.509090909
0.618985696,0.565597668,0.600790514,0.591352859,0.529761905
0.638814016,0.585218703,0.591700134,0.623776224,0.563636364
0.612466125,0.579494799,0.598657718,0.585164835,0.489096573
0.577075099,0.568542569,0.588555858,0.584487535,0.568888889
