CatBoost,KNN,LR,RF,SVM
0.610837438,0.504926108,0.522167488,0.539408867,0.482758621
0.586206897,0.487684729,0.517241379,0.519704433,0.431034483
0.593596059,0.465517241,0.536945813,0.561576355,0.428571429
0.543209877,0.456790123,0.55308642,0.496296296,0.441975309
0.525925926,0.44691358,0.577777778,0.508641975,0.414814815
0.544334975,0.450738916,0.522167488,0.519704433,0.406403941
0.554187192,0.465517241,0.507389163,0.524630542,0.431034483
0.541871921,0.431034483,0.539408867,0.52955665,0.45320197
0.585185185,0.508641975,0.548148148,0.538271605,0.469135802
0.57037037,0.483950617,0.575308642,0.52345679,0.444444444
0.564039409,0.477832512,0.54679803,0.497536946,0.445812808
0.586206897,0.482758621,0.514778325,0.509852217,0.458128079
0.586206897,0.482758621,0.578817734,0.564039409,0.47044335
0.535802469,0.439506173,0.538271605,0.488888889,0.390123457
0.614814815,0.483950617,0.525925926,0.525925926,0.449382716
0.568965517,0.487684729,0.482758621,0.502463054,0.443349754
0.564039409,0.472906404,0.54679803,0.5591133,0.4408867
0.591133005,0.438423645,0.566502463,0.534482759,0.431034483
0.560493827,0.496296296,0.558024691,0.508641975,0.44691358
0.597530864,0.461728395,0.550617284,0.560493827,0.444444444
0.610837438,0.472906404,0.539408867,0.583743842,0.448275862
0.551724138,0.477832512,0.527093596,0.527093596,0.463054187
0.586206897,0.426108374,0.539408867,0.514778325,0.408866995
0.577777778,0.483950617,0.55308642,0.538271605,0.461728395
0.595061728,0.466666667,0.540740741,0.503703704,0.422222222
0.564039409,0.45320197,0.564039409,0.517241379,0.403940887
0.573891626,0.482758621,0.522167488,0.512315271,0.467980296
0.561576355,0.47044335,0.512315271,0.544334975,0.485221675
0.565432099,0.434567901,0.55308642,0.503703704,0.422222222
0.597530864,0.516049383,0.535802469,0.548148148,0.434567901
0.556650246,0.435960591,0.544334975,0.527093596,0.406403941
0.591133005,0.504926108,0.554187192,0.509852217,0.467980296
0.586206897,0.485221675,0.539408867,0.544334975,0.443349754
0.545679012,0.469135802,0.535802469,0.528395062,0.382716049
0.577777778,0.44691358,0.513580247,0.486419753,0.469135802
0.593596059,0.47044335,0.52955665,0.527093596,0.448275862
0.591133005,0.448275862,0.544334975,0.512315271,0.428571429
0.551724138,0.443349754,0.554187192,0.507389163,0.443349754
0.602469136,0.498765432,0.530864198,0.560493827,0.437037037
0.565432099,0.456790123,0.543209877,0.498765432,0.437037037
0.593596059,0.463054187,0.534482759,0.507389163,0.384236453
0.564039409,0.455665025,0.568965517,0.495073892,0.465517241
0.596059113,0.475369458,0.54679803,0.524630542,0.448275862
0.587654321,0.491358025,0.533333333,0.540740741,0.459259259
0.52345679,0.47654321,0.516049383,0.501234568,0.414814815
0.600985222,0.497536946,0.52955665,0.549261084,0.487684729
0.571428571,0.509852217,0.564039409,0.522167488,0.445812808
0.549261084,0.487684729,0.522167488,0.536945813,0.431034483
0.585185185,0.508641975,0.555555556,0.567901235,0.479012346
0.55308642,0.385185185,0.50617284,0.449382716,0.385185185
0.583743842,0.495073892,0.534482759,0.522167488,0.431034483
0.578817734,0.475369458,0.534482759,0.578817734,0.450738916
0.571428571,0.492610837,0.600985222,0.544334975,0.426108374
0.548148148,0.456790123,0.501234568,0.498765432,0.434567901
0.562962963,0.427160494,0.538271605,0.498765432,0.407407407
0.608374384,0.524630542,0.551724138,0.5591133,0.475369458
0.586206897,0.465517241,0.47044335,0.524630542,0.443349754
0.578817734,0.45320197,0.527093596,0.524630542,0.411330049
0.558024691,0.469135802,0.565432099,0.488888889,0.422222222
0.543209877,0.456790123,0.560493827,0.491358025,0.432098765
0.551724138,0.509852217,0.551724138,0.539408867,0.455665025
0.598522167,0.460591133,0.52955665,0.517241379,0.455665025
0.591133005,0.463054187,0.512315271,0.544334975,0.42364532
0.575308642,0.441975309,0.575308642,0.525925926,0.4
0.567901235,0.483950617,0.525925926,0.498765432,0.437037037
0.60591133,0.485221675,0.522167488,0.5591133,0.482758621
0.551724138,0.47044335,0.551724138,0.524630542,0.426108374
0.588669951,0.485221675,0.504926108,0.519704433,0.413793103
0.572839506,0.47654321,0.558024691,0.528395062,0.424691358
0.528395062,0.449382716,0.533333333,0.479012346,0.385185185
0.581280788,0.490147783,0.509852217,0.512315271,0.435960591
0.583743842,0.455665025,0.561576355,0.504926108,0.431034483
0.571428571,0.482758621,0.536945813,0.495073892,0.443349754
0.577777778,0.47654321,0.530864198,0.528395062,0.456790123
0.597530864,0.479012346,0.550617284,0.530864198,0.451851852
0.568965517,0.445812808,0.5591133,0.522167488,0.435960591
0.544334975,0.480295567,0.509852217,0.551724138,0.445812808
0.573891626,0.47044335,0.544334975,0.539408867,0.443349754
0.565432099,0.456790123,0.545679012,0.49382716,0.444444444
0.560493827,0.459259259,0.511111111,0.481481481,0.432098765
0.556650246,0.472906404,0.544334975,0.509852217,0.445812808
0.573891626,0.455665025,0.554187192,0.495073892,0.408866995
0.581280788,0.487684729,0.512315271,0.568965517,0.450738916
0.540740741,0.449382716,0.503703704,0.50617284,0.424691358
0.57037037,0.481481481,0.582716049,0.516049383,0.461728395
0.5591133,0.431034483,0.524630542,0.52955665,0.438423645
0.568965517,0.467980296,0.566502463,0.527093596,0.426108374
0.54679803,0.428571429,0.532019704,0.5,0.403940887
0.587654321,0.49382716,0.535802469,0.528395062,0.471604938
0.590123457,0.488888889,0.550617284,0.533333333,0.449382716
0.603448276,0.495073892,0.512315271,0.541871921,0.475369458
0.591133005,0.45320197,0.527093596,0.556650246,0.448275862
0.57635468,0.463054187,0.527093596,0.5,0.428571429
0.548148148,0.424691358,0.548148148,0.533333333,0.444444444
0.555555556,0.483950617,0.567901235,0.47654321,0.412345679
0.583743842,0.517241379,0.544334975,0.532019704,0.477832512
0.60591133,0.448275862,0.556650246,0.527093596,0.426108374
0.600985222,0.485221675,0.554187192,0.536945813,0.4408867
0.560493827,0.454320988,0.516049383,0.496296296,0.4
0.558024691,0.47654321,0.518518519,0.518518519,0.437037037
0.588669951,0.47044335,0.541871921,0.504926108,0.413793103
0.556650246,0.477832512,0.568965517,0.561576355,0.448275862
0.596059113,0.47044335,0.514778325,0.561576355,0.435960591
0.555555556,0.481481481,0.572839506,0.511111111,0.439506173
0.567901235,0.439506173,0.516049383,0.508641975,0.414814815
0.586206897,0.477832512,0.561576355,0.522167488,0.438423645
0.583743842,0.477832512,0.544334975,0.549261084,0.458128079
0.556650246,0.480295567,0.549261084,0.524630542,0.386699507
0.540740741,0.486419753,0.533333333,0.520987654,0.474074074
0.555555556,0.479012346,0.50617284,0.543209877,0.42962963
0.571428571,0.47044335,0.532019704,0.524630542,0.411330049
0.598522167,0.477832512,0.5591133,0.519704433,0.472906404
0.57635468,0.455665025,0.512315271,0.495073892,0.406403941
0.548148148,0.461728395,0.535802469,0.533333333,0.456790123
0.540740741,0.456790123,0.562962963,0.520987654,0.434567901
0.583743842,0.4408867,0.598522167,0.507389163,0.421182266
0.566502463,0.443349754,0.514778325,0.497536946,0.435960591
0.583743842,0.487684729,0.532019704,0.568965517,0.42364532
0.622222222,0.498765432,0.540740741,0.560493827,0.469135802
0.538271605,0.42962963,0.528395062,0.466666667,0.385185185
0.60591133,0.497536946,0.551724138,0.549261084,0.455665025
0.596059113,0.443349754,0.522167488,0.514778325,0.477832512
0.564039409,0.472906404,0.514778325,0.512315271,0.42364532
0.555555556,0.479012346,0.577777778,0.501234568,0.42962963
0.543209877,0.454320988,0.535802469,0.488888889,0.441975309
0.578817734,0.497536946,0.517241379,0.517241379,0.411330049
0.566502463,0.465517241,0.556650246,0.524630542,0.443349754
0.554187192,0.460591133,0.5,0.509852217,0.416256158
0.535802469,0.466666667,0.580246914,0.518518519,0.469135802
0.604938272,0.491358025,0.533333333,0.520987654,0.434567901
0.544334975,0.433497537,0.536945813,0.52955665,0.406403941
0.581280788,0.475369458,0.544334975,0.514778325,0.411330049
0.593596059,0.480295567,0.544334975,0.517241379,0.455665025
0.580246914,0.486419753,0.503703704,0.533333333,0.414814815
0.57037037,0.49382716,0.548148148,0.535802469,0.486419753
0.561576355,0.448275862,0.54679803,0.507389163,0.475369458
0.573891626,0.445812808,0.487684729,0.460591133,0.403940887
0.571428571,0.472906404,0.532019704,0.507389163,0.411330049
0.567901235,0.464197531,0.562962963,0.528395062,0.4
0.619753086,0.511111111,0.572839506,0.565432099,0.47654321
0.583743842,0.433497537,0.544334975,0.527093596,0.406403941
0.564039409,0.47044335,0.539408867,0.492610837,0.445812808
0.593596059,0.524630542,0.541871921,0.54679803,0.445812808
0.560493827,0.456790123,0.550617284,0.508641975,0.441975309
0.602469136,0.47654321,0.516049383,0.538271605,0.451851852
0.5591133,0.472906404,0.532019704,0.52955665,0.42364532
0.571428571,0.448275862,0.492610837,0.514778325,0.433497537
0.571428571,0.418719212,0.561576355,0.497536946,0.433497537
0.535802469,0.483950617,0.560493827,0.486419753,0.422222222
0.622222222,0.464197531,0.558024691,0.548148148,0.434567901
0.568965517,0.448275862,0.52955665,0.541871921,0.426108374
0.5591133,0.455665025,0.57635468,0.532019704,0.448275862
0.628078818,0.504926108,0.497536946,0.514778325,0.47044335
0.513580247,0.449382716,0.558024691,0.488888889,0.390123457
0.575308642,0.498765432,0.513580247,0.560493827,0.424691358
0.534482759,0.431034483,0.54679803,0.502463054,0.411330049
0.586206897,0.490147783,0.534482759,0.536945813,0.475369458
0.556650246,0.467980296,0.524630542,0.527093596,0.4408867
0.6,0.50617284,0.538271605,0.562962963,0.441975309
0.562962963,0.454320988,0.558024691,0.516049383,0.4
0.583743842,0.455665025,0.578817734,0.497536946,0.435960591
0.583743842,0.458128079,0.517241379,0.519704433,0.406403941
0.554187192,0.477832512,0.527093596,0.5,0.403940887
0.558024691,0.441975309,0.520987654,0.543209877,0.454320988
0.607407407,0.486419753,0.55308642,0.528395062,0.42962963
0.5591133,0.475369458,0.534482759,0.554187192,0.4408867
0.549261084,0.465517241,0.512315271,0.492610837,0.4408867
0.568965517,0.485221675,0.596059113,0.524630542,0.448275862
0.560493827,0.459259259,0.52345679,0.49382716,0.404938272
0.587654321,0.461728395,0.528395062,0.520987654,0.461728395
0.554187192,0.445812808,0.561576355,0.502463054,0.399014778
0.586206897,0.514778325,0.561576355,0.517241379,0.4408867
0.566502463,0.406403941,0.534482759,0.497536946,0.418719212
0.587654321,0.451851852,0.555555556,0.486419753,0.427160494
0.590123457,0.511111111,0.488888889,0.558024691,0.503703704
0.568965517,0.465517241,0.512315271,0.532019704,0.418719212
0.544334975,0.448275862,0.568965517,0.514778325,0.411330049
0.588669951,0.507389163,0.539408867,0.561576355,0.458128079
0.565432099,0.437037037,0.538271605,0.486419753,0.417283951
0.575308642,0.464197531,0.530864198,0.52345679,0.44691358
0.564039409,0.455665025,0.544334975,0.52955665,0.386699507
0.571428571,0.467980296,0.556650246,0.485221675,0.411330049
0.583743842,0.504926108,0.554187192,0.551724138,0.5
0.575308642,0.466666667,0.518518519,0.503703704,0.419753086
0.587654321,0.444444444,0.530864198,0.52345679,0.444444444
0.581280788,0.482758621,0.519704433,0.536945813,0.431034483
0.571428571,0.455665025,0.549261084,0.512315271,0.431034483
0.586206897,0.467980296,0.554187192,0.554187192,0.445812808
0.577777778,0.451851852,0.511111111,0.562962963,0.44691358
0.543209877,0.437037037,0.565432099,0.49382716,0.409876543
0.568965517,0.47044335,0.514778325,0.544334975,0.431034483
0.583743842,0.485221675,0.566502463,0.54679803,0.445812808
0.586206897,0.502463054,0.502463054,0.566502463,0.448275862
0.540740741,0.449382716,0.565432099,0.471604938,0.424691358
0.585185185,0.44691358,0.540740741,0.533333333,0.42962963
0.593596059,0.465517241,0.544334975,0.507389163,0.45320197
0.581280788,0.443349754,0.596059113,0.52955665,0.408866995
0.568965517,0.485221675,0.52955665,0.536945813,0.445812808
0.567901235,0.481481481,0.516049383,0.503703704,0.456790123
0.565432099,0.483950617,0.530864198,0.525925926,0.474074074
0.581280788,0.490147783,0.554187192,0.532019704,0.45320197
0.57635468,0.460591133,0.519704433,0.539408867,0.455665025
0.564039409,0.475369458,0.527093596,0.522167488,0.460591133
0.565432099,0.464197531,0.52345679,0.520987654,0.414814815
0.565432099,0.456790123,0.565432099,0.513580247,0.407407407
0.57635468,0.472906404,0.564039409,0.517241379,0.433497537
0.551724138,0.401477833,0.504926108,0.522167488,0.433497537
0.566502463,0.485221675,0.52955665,0.539408867,0.45320197
0.592592593,0.47654321,0.565432099,0.501234568,0.449382716
0.580246914,0.479012346,0.535802469,0.52345679,0.412345679
0.588669951,0.492610837,0.566502463,0.54679803,0.450738916
0.556650246,0.433497537,0.522167488,0.487684729,0.421182266
0.561576355,0.475369458,0.556650246,0.514778325,0.465517241
0.582716049,0.486419753,0.548148148,0.535802469,0.441975309
0.585185185,0.456790123,0.508641975,0.513580247,0.422222222
0.600985222,0.519704433,0.524630542,0.544334975,0.480295567
0.551724138,0.431034483,0.527093596,0.502463054,0.443349754
0.554187192,0.465517241,0.536945813,0.497536946,0.401477833
0.590123457,0.466666667,0.562962963,0.540740741,0.44691358
0.57037037,0.459259259,0.543209877,0.518518519,0.427160494
0.573891626,0.443349754,0.573891626,0.495073892,0.384236453
0.581280788,0.492610837,0.534482759,0.514778325,0.418719212
0.608374384,0.482758621,0.52955665,0.554187192,0.443349754
0.548148148,0.422222222,0.567901235,0.486419753,0.444444444
0.533333333,0.479012346,0.498765432,0.488888889,0.444444444
0.586206897,0.480295567,0.549261084,0.524630542,0.4408867
0.517241379,0.4408867,0.566502463,0.467980296,0.4408867
0.603448276,0.52955665,0.568965517,0.536945813,0.443349754
0.548148148,0.44691358,0.508641975,0.511111111,0.377777778
0.572839506,0.432098765,0.520987654,0.550617284,0.441975309
0.54679803,0.421182266,0.52955665,0.477832512,0.411330049
0.5591133,0.475369458,0.544334975,0.497536946,0.418719212
0.596059113,0.475369458,0.554187192,0.524630542,0.433497537
0.572839506,0.481481481,0.50617284,0.508641975,0.439506173
0.609876543,0.49382716,0.550617284,0.518518519,0.456790123
0.534482759,0.421182266,0.549261084,0.492610837,0.411330049
0.561576355,0.490147783,0.541871921,0.534482759,0.435960591
0.588669951,0.487684729,0.5,0.536945813,0.475369458
0.558024691,0.466666667,0.55308642,0.471604938,0.427160494
0.575308642,0.466666667,0.543209877,0.535802469,0.444444444
0.573891626,0.472906404,0.539408867,0.507389163,0.426108374
0.5591133,0.477832512,0.541871921,0.519704433,0.406403941
0.613300493,0.460591133,0.52955665,0.534482759,0.477832512
0.555555556,0.496296296,0.55308642,0.538271605,0.441975309
0.55308642,0.449382716,0.528395062,0.481481481,0.422222222
0.588669951,0.4408867,0.527093596,0.541871921,0.431034483
0.598522167,0.512315271,0.514778325,0.566502463,0.421182266
0.603448276,0.507389163,0.554187192,0.541871921,0.47044335
0.508641975,0.419753086,0.543209877,0.466666667,0.417283951
0.565432099,0.479012346,0.560493827,0.513580247,0.454320988
0.539408867,0.443349754,0.534482759,0.495073892,0.406403941
0.591133005,0.504926108,0.549261084,0.549261084,0.458128079
0.578817734,0.487684729,0.517241379,0.517241379,0.45320197
0.577777778,0.47654321,0.528395062,0.538271605,0.444444444
0.555555556,0.42962963,0.555555556,0.511111111,0.422222222
0.581280788,0.435960591,0.549261084,0.522167488,0.428571429
0.600985222,0.524630542,0.561576355,0.519704433,0.403940887
0.54679803,0.463054187,0.514778325,0.504926108,0.460591133
0.607407407,0.451851852,0.52345679,0.518518519,0.44691358
0.575308642,0.459259259,0.528395062,0.540740741,0.432098765
0.586206897,0.47044335,0.497536946,0.541871921,0.47044335
0.593596059,0.450738916,0.549261084,0.495073892,0.408866995
0.54679803,0.485221675,0.532019704,0.536945813,0.458128079
0.575308642,0.479012346,0.538271605,0.528395062,0.44691358
0.567901235,0.459259259,0.580246914,0.52345679,0.392592593
0.571428571,0.47044335,0.54679803,0.522167488,0.435960591
0.603448276,0.463054187,0.507389163,0.549261084,0.428571429
0.591133005,0.497536946,0.551724138,0.551724138,0.428571429
0.565432099,0.444444444,0.535802469,0.491358025,0.419753086
0.543209877,0.466666667,0.567901235,0.503703704,0.434567901
0.549261084,0.448275862,0.522167488,0.495073892,0.399014778
0.581280788,0.467980296,0.551724138,0.519704433,0.467980296
0.573891626,0.492610837,0.544334975,0.551724138,0.455665025
0.587654321,0.483950617,0.550617284,0.545679012,0.441975309
0.55308642,0.474074074,0.52345679,0.508641975,0.409876543
0.596059113,0.485221675,0.536945813,0.573891626,0.472906404
0.623152709,0.492610837,0.549261084,0.573891626,0.480295567
0.556650246,0.455665025,0.536945813,0.492610837,0.396551724
0.540740741,0.44691358,0.498765432,0.488888889,0.387654321
0.533333333,0.444444444,0.57037037,0.483950617,0.422222222
0.588669951,0.485221675,0.57635468,0.497536946,0.433497537
0.57635468,0.475369458,0.54679803,0.527093596,0.448275862
0.554187192,0.411330049,0.522167488,0.492610837,0.379310345
0.560493827,0.47654321,0.511111111,0.530864198,0.424691358
